# Restart data 
 # Iteration, Number of cell, Number of conservative variable, Initial residuals 
 # 200 25 5   0.06105506061940811 618.4184679032699 2.0070447752951086 0.0 5777928392.63715
9.985989585117980780e-03	1.003661974774052279e+00	2.327344100336535809e-03	0.000000000000000000e+00	2.211553456695542081e+03
9.369475398337812760e-03	8.205235424777267417e-01	9.031282113832335423e-02	0.000000000000000000e+00	2.011730640370221181e+03
8.991795499438268863e-03	7.816857060896481579e-01	3.528155877003056329e-01	0.000000000000000000e+00	1.920473972823033137e+03
9.286891014146991113e-03	9.415126461309163419e-01	1.591416118624771614e-01	0.000000000000000000e+00	1.995046376679013292e+03
9.352233099501224695e-03	1.077726272953814401e+00	3.810999840414407147e-02	0.000000000000000000e+00	2.031233904874543214e+03
9.702109605934598063e-03	1.041703192615683005e+00	2.994238655405965718e-02	0.000000000000000000e+00	2.128416663063503620e+03
9.792056525476426632e-03	1.024982205787971168e+00	1.857405191779316206e-02	0.000000000000000000e+00	2.155145217040689204e+03
9.901693406353967442e-03	1.011717758789399069e+00	1.546609473640813900e-02	0.000000000000000000e+00	2.186360234418147229e+03
9.936459673128957004e-03	1.007440554338528971e+00	6.102776013160769210e-03	0.000000000000000000e+00	2.196647271778192135e+03
9.983318987625552227e-03	1.001832633618259250e+00	1.148131389137377204e-03	0.000000000000000000e+00	2.210301255485255297e+03
9.968872070497262691e-03	1.004749884664602799e+00	2.462192805253428807e-03	0.000000000000000000e+00	2.206140776070606535e+03
9.150469691692445992e-03	9.960985020922180633e-01	2.168554356971418018e-01	0.000000000000000000e+00	1.973998749652381093e+03
9.193119481536336443e-03	7.010552466618134027e-01	2.685907647620699445e-01	0.000000000000000000e+00	1.955697154247287017e+03
9.205804402370421427e-03	8.830015499505210474e-01	2.338273633621154035e-01	0.000000000000000000e+00	1.976296976139991557e+03
9.242526294215454991e-03	8.757071530529236814e-01	2.867328199585039705e-02	0.000000000000000000e+00	1.981174093178942258e+03
9.978714563563931272e-03	1.001529707217710508e+00	4.772390243308465008e-03	0.000000000000000000e+00	2.209000896489898878e+03
9.989945080053517709e-03	1.002239112697880463e+00	5.972877688391603620e-04	0.000000000000000000e+00	2.212532808642044074e+03
9.970194219469430408e-03	1.010499887829048760e+00	2.509944031331893741e-03	0.000000000000000000e+00	2.206699947059744773e+03
9.904430829344432197e-03	1.034726258205095561e+00	9.508573652183561695e-03	0.000000000000000000e+00	2.188017209055788499e+03
9.841213112693683943e-03	1.136869097569512599e+00	2.633879439571981673e-02	0.000000000000000000e+00	2.170462608720050412e+03
8.865824001722541828e-03	9.704448220252663848e-01	4.451740825751054342e-01	0.000000000000000000e+00	1.916459122071235697e+03
9.970077246370633028e-03	1.007989518592689704e+00	4.641025400992237690e-03	0.000000000000000000e+00	2.206559203600796536e+03
9.895040372991551619e-03	1.024529614847760284e+00	1.468593333100920266e-02	0.000000000000000000e+00	2.184905739386887490e+03
9.758217712062733015e-03	1.078862070556162456e+00	2.516685273039781512e-02	0.000000000000000000e+00	2.146182235198682974e+03
9.026556816437816474e-03	8.805853322537384731e-01	4.111568547746585200e-01	0.000000000000000000e+00	1.936298923774827699e+03
